hour,avg_base_fee,avg_gas_limit,avg_gas_used,avg_tcount
2022-09-18 00:00:00,3123934122.4087839,29999900.935810812,15435643.179054046,164.51351351351357
2022-09-18 01:00:00,2707575198.0808072,29999703.808080804,15447157.168350168,163.81481481481489
2022-09-18 02:00:00,3744840050.0405388,29999504.682432435,15258480.101351356,156.18243243243231
2022-09-18 03:00:00,3053516666.0802693,29999509.829431437,15301153.749163892,148.80267558528428
2022-09-18 04:00:00,3509826733.4515038,29999901.92976588,15210467.204013374,151.39130434782604
2022-09-18 05:00:00,2865954644.2871604,29999504.679054055,15368143.077702692,164.91216216216216
2022-09-18 06:00:00,3973648090.2852349,29999704.802013408,15138649.151006706,149.0872483221477
2022-09-18 07:00:00,2460474656.9358134,29999603.743243232,15245572.753378365,174.95945945945937
2022-09-18 08:00:00,2349468228.1409392,29999901.600671135,15462258.946308715,181.48322147651021
2022-09-18 09:00:00,3501565087.662209,29999611.331103668,15586440.391304348,171.74247491638803
2022-09-18 10:00:00,4104742647.0604019,29999901.600671139,14890007.187919462,164.66778523489936
2022-09-18 11:00:00,7438554073.249156,29999802.538720537,15404659.828282828,137.20875420875413
2022-09-18 12:00:00,4727980532.1790524,29999801.871621612,15500059.814189196,162.90540540540528
2022-09-18 13:00:00,4626795921.8479738,29999801.871621616,15430651.300675686,170.96959459459464
2022-09-18 14:00:00,5495710711.6397324,29999605.077441085,15355285.181818187,169.37037037037041
2022-09-18 15:00:00,9132079913.2983112,29999503.000000004,15250326.722033896,167.93559322033906
2022-09-18 16:00:00,23672940966.278538,29999704.802013412,15622967.489932885,180.83892617449666
2022-09-18 17:00:00,11397560756.255033,30000000.0,15132384.983221481,161.95637583892611
2022-09-18 18:00:00,10564075306.10367,29999411.672240805,15219444.852842808,159.36789297658859
2022-09-18 19:00:00,7893219135.6622047,29999607.719063558,14997049.086956523,155.34113712374571
2022-09-18 20:00:00,7136684220.1496611,29999700.785714265,15240406.438775513,157.34013605442172
2022-09-18 21:00:00,22227933914.929058,29999900.935810816,15813331.114864865,170.08108108108112
2022-09-18 22:00:00,8897560810.36949,29999701.799999997,14893754.71525424,157.33559322033895
2022-09-18 23:00:00,3737426448.214766,29999803.201342285,15071222.939597314,152.12416107382552
2022-09-19 00:00:00,8383594616.3525381,29999801.2,15994449.142372895,171.47457627118646
2022-09-19 01:00:00,7036890901.6989975,29998725.361204028,14770766.68896322,146.59197324414708
2022-09-19 02:00:00,8548420524.5050459,29998914.144781128,15447907.703703707,163.77777777777757
2022-09-19 03:00:00,6478540566.287632,29999901.929765891,15144947.086956518,158.72909698996648
2022-09-19 04:00:00,3825341697.1486483,30000000.0,15036897.060810819,151.31081081081078
2022-09-19 05:00:00,2888743961.8959737,29999704.802013427,15474580.436241614,159.35906040268452
2022-09-19 06:00:00,4921064676.1845694,29999508.003355712,15408438.657718118,159.96979865771817
2022-09-19 07:00:00,4140150786.3973069,29999407.616161615,15387920.309764311,155.75420875420869
2022-09-19 08:00:00,4617093912.0939579,29999901.60067115,15071394.117449673,158.56040268456374
2022-09-19 09:00:00,3479910529.3164992,29999901.269360267,15156610.151515149,164.28956228956227
2022-09-19 10:00:00,4375963299.4175062,29999901.175084181,15385134.572390573,174.85521885521896
2022-09-19 11:00:00,3147705003.4680133,29999802.538720526,15140649.555555552,160.30303030303031
2022-09-19 12:00:00,3436259320.8952708,29999504.67905407,15454946.124999989,176.6587837837838
2022-09-19 13:00:00,10299409579.68475,29999701.800000016,15798165.59322034,179.29491525423742
2022-09-19 14:00:00,13682846295.969702,29999802.44444444,15256499.528619528,155.46127946127947
2022-09-19 15:00:00,10129954816.326607,29999506.441077437,15418556.582491577,171.885521885522
2022-09-19 16:00:00,14134105002.216219,29999603.743243251,15446159.736486489,160.31418918918925
2022-09-19 17:00:00,24869010192.09153,30000000.0,15087721.586440677,157.54576271186446
2022-09-19 18:00:00,10902486549.501678,29999703.902356897,15246431.491582498,156.54882154882173
2022-09-19 19:00:00,20102118009.9697,29999802.538720548,15242277.72727273,152.023569023569
2022-09-19 20:00:00,11981831455.622896,29998914.239057217,15200176.545454539,149.37710437710427
2022-09-19 21:00:00,11526438900.185808,29999801.777027037,15187129.047297291,152.58783783783778
2022-09-19 22:00:00,7578270549.2027054,30000000.0,15211576.34797298,150.76351351351357
2022-09-19 23:00:00,8094592716.9261742,29999704.802013408,15244278.197986586,146.84899328859052
2022-09-20 00:00:00,9043602995.70232,29999313.695652165,15270722.889632104,167.57525083612035
2022-09-20 01:00:00,4899159584.63973,29999703.808080815,15272095.531986529,156.38047138047133
2022-09-20 02:00:00,4415502700.0735807,29999901.929765891,15467457.163879586,153.54515050167217
2022-09-20 03:00:00,7670511660.7066641,29999804.513333332,15443306.080000013,147.21333333333337
2022-09-20 04:00:00,5331111256.8378458,29999900.935810808,14906804.212837838,150.43243243243251
2022-09-20 05:00:00,6037881208.3932209,30000000.0,15314786.132203382,167.35932203389825
2022-09-20 06:00:00,7296539011.9528675,30000000.0,15728542.316498313,144.76094276094273
2022-09-20 07:00:00,6068757693.0933313,29999706.769999992,15120710.523333335,159.34999999999994
2022-09-20 08:00:00,4656991344.7458172,29999023.076923076,15297403.872909704,162.69230769230762
2022-09-20 09:00:00,4419991605.0235672,29999901.269360274,15366276.16161616,155.23905723905722
2022-09-20 10:00:00,3328442989.1824322,29999900.935810816,15039631.712837841,154.18243243243256
2022-09-20 11:00:00,4195211866.9152536,29999900.59999999,15372497.613559317,165.31186440677968
2022-09-20 12:00:00,7111206804.08108,29999900.935810812,15706785.503378369,193.80067567567568
2022-09-20 13:00:00,21894445049.575253,29999803.859531764,15550446.91304349,186.37123745819406
2022-09-20 14:00:00,13301376832.185812,29999801.871621616,15337727.499999993,169.68918918918908
2022-09-20 15:00:00,9757149972.3355541,29999901.600671139,15143154.815436237,170.58724832214776
2022-09-20 16:00:00,15680251072.653196,29999605.07744107,15715156.326599319,169.75084175084174
2022-09-20 17:00:00,24711630784.280396,29999900.935810804,15137087.097972974,167.11824324324331
2022-09-20 18:00:00,13934104401.966667,29999413.539999995,15011589.663333328,155.17666666666659
2022-09-20 19:00:00,11173103053.740747,29999802.538720537,15068527.909090912,163.79124579124573
2022-09-20 20:00:00,35613646959.875412,29999707.444444444,15610130.639730634,129.13804713804711
2022-09-20 21:00:00,12504572557.802017,29999901.600671139,15176477.838926183,158.82885906040278
2022-09-20 22:00:00,8140012766.2121239,29999802.444444455,15031378.703703701,148.85858585858571
2022-09-20 23:00:00,6929420968.212122,29999802.538720544,15256444.962962955,166.4040404040405
2022-09-21 00:00:00,9909344402.5284271,29999901.929765891,15734011.434782617,151.3879598662208
2022-09-21 01:00:00,8247135684.5133343,30000000.0,14964936.486666666,132.56666666666669
2022-09-21 02:00:00,6898350015.0602016,30000000.0,15229183.632107031,148.29765886287629
2022-09-21 03:00:00,5575967255.4698,29999901.600671146,15285728.832214767,144.95302013422824
2022-09-21 04:00:00,4277665069.0740714,30000000.0,15284560.808080805,149.3636363636364
2022-09-21 05:00:00,4914073382.5288115,29999701.799999986,15350167.0542373,155.77966101694909
2022-09-21 06:00:00,6952660933.5514679,29999676.5845588,15594989.930147056,165.18749999999994
2022-09-21 07:00:00,4502162862.1571369,29999794.407142863,14933006.753571434,153.4607142857142
2022-09-21 08:00:00,3651912595.3453226,29999894.521582726,15186460.330935251,160.37410071942449
2022-09-21 09:00:00,3708214998.12069,29999700.382758629,15534068.782758629,149.78275862068963
2022-09-21 10:00:00,3515086967.1944461,29999494.7673611,15097015.020833325,152.10763888888891
2022-09-21 11:00:00,3275039714.2271194,29999801.199999992,15550174.322033897,160.84745762711876
2022-09-21 12:00:00,5578583703.0802689,29999709.40133778,15636186.020066878,167.18060200668893
2022-09-21 13:00:00,8676069092.9831676,29999802.538720541,15249691.905723909,167.96296296296296
2022-09-21 14:00:00,9018841809.83673,30000000.0,15332896.326530615,167.80612244897955
2022-09-21 15:00:00,14545165473.513519,29999801.871621627,15415501.202702703,158.60810810810813
2022-09-21 16:00:00,24909077858.535587,29999900.59999999,15330268.640677961,157.66101694915255
2022-09-21 17:00:00,16415624320.553684,29999708.4261745,15317834.902684564,170.63422818791955
2022-09-21 18:00:00,35735394054.9293,29999901.269360263,15450451.710437719,166.86531986531995
2022-09-21 19:00:00,17968411062.046986,29999901.600671135,15110441.449664431,154.22483221476512
2022-09-21 20:00:00,11943219544.75337,29999801.87162162,15155143.111486495,151.03716216216222
2022-09-21 21:00:00,23435029664.250835,29999901.929765891,15478325.6923077,152.58528428093646
2022-09-21 22:00:00,14137033848.672226,29999313.688963216,15170921.133779259,149.49498327759187
2022-09-21 23:00:00,7744430635.9830494,29999701.799999986,15188228.000000006,155.94237288135591
2022-09-22 00:00:00,9613626605.8175659,29999801.871621627,15321162.547297293,149.82770270270274
2022-09-22 01:00:00,5864332937.1543579,29999606.214765113,15147238.174496649,151.24496644295306
2022-09-22 02:00:00,5226278527.9663258,29999707.444444455,15423808.72390572,155.74410774410759
2022-09-22 03:00:00,5997688705.698308,29999900.599999998,15337239.444067802,153.25423728813564
2022-09-22 04:00:00,5629117030.6418934,29999801.871621616,15031174.145270264,138.6351351351351
2022-09-22 05:00:00,4118421862.6430974,29999802.538720533,15294632.02356902,147.18855218855211
2022-09-22 06:00:00,6080405000.7826128,29999705.789297666,15348109.826086957,154.63879598662206
2022-09-22 07:00:00,4157683871.1649847,29999013.057239052,15240984.919191927,153.90235690235687
2022-09-22 08:00:00,5190868359.8389235,29999803.201342281,15378477.439597309,163.07046979865771
2022-09-22 09:00:00,3860985145.8699994,30000000.0,15133817.93,157.98666666666659
2022-09-22 10:00:00,4853564654.0402689,29999901.600671139,15362804.342281878,159.79865771812061
2022-09-22 11:00:00,4145644495.7946119,30000000.0,15289279.010101013,160.01346801346799
2022-09-22 12:00:00,10820918076.080553,29999803.201342274,15602848.389261745,172.29865771812095
2022-09-22 13:00:00,8901197995.8053646,30000000.0,15417005.278523497,161.16778523489933
2022-09-22 14:00:00,11568380625.696974,29999703.808080822,15455409.868686881,167.58922558922555
2022-09-22 15:00:00,26898348959.164974,29999901.269360267,15214652.164983165,173.24242424242405
2022-09-22 16:00:00,14175713085.177256,29999803.859531771,15102132.173913047,158.61204013377926
2022-09-22 17:00:00,15703507457.853334,29999902.256666664,15326393.453333339,166.51999999999995
2022-09-22 18:00:00,11361455507.528425,29999901.929765891,15445661.675585281,158.17725752508363
2022-09-22 19:00:00,13575053895.226675,29999902.25666666,15106456.54,150.73666666666674
2022-09-22 20:00:00,10228789591.494986,30000000.0,15252195.137123739,162.39130434782618
2022-09-22 21:00:00,10041324322.695639,29999901.929765876,15078027.84949833,156.08026755852848
2022-09-22 22:00:00,8035042526.7324448,29999901.929765891,15616717.441471579,137.90301003344479
2022-09-22 23:00:00,6644736897.2943144,29999705.789297663,14879871.020066887,142.56187290969905
2022-09-23 00:00:00,6787048661.4381256,29999803.85953176,15527738.715719065,137.79264214046819
2022-09-23 01:00:00,4805206697.3993235,29999606.214765109,15203922.268456381,148.68456375838937
2022-09-23 02:00:00,5711419245.4358063,29999504.679054059,15255411.358108103,147.80405405405412
2022-09-23 03:00:00,5008570937.1237421,30000000.0,15163019.682274245,147.23745819397988
2022-09-23 04:00:00,5446582743.7290974,29999901.929765891,15640371.458193973,159.33444816053517
2022-09-23 05:00:00,4609215020.7826109,29999705.789297644,14980134.612040138,135.10033444816054
2022-09-23 06:00:00,5615024575.3578615,29999705.789297666,15402612.080267549,140.21070234113705
2022-09-23 07:00:00,4723504119.7833366,29999902.256666653,15288679.586666659,149.56000000000003
2022-09-23 08:00:00,4574798939.6275187,30000000.0,15186749.882550338,152.58724832214773
2022-09-23 09:00:00,5190116662.36913,29999704.802013416,15445953.49328859,146.93288590604021
2022-09-23 10:00:00,6128475011.9127569,29999901.600671127,15245603.046979867,148.97651006711408
2022-09-23 11:00:00,5497621443.3879566,29999607.719063543,15258830.030100331,164.57859531772579
2022-09-23 12:00:00,9547526207.6020145,30000000.0,15402520.367892971,169.99331103678915
2022-09-23 13:00:00,8790923228.8657722,30000000.0,15773917.993288586,168.34228187919467
2022-09-23 14:00:00,18136437084.363636,29999901.269360263,14858960.757575763,161.45117845117861
2022-09-23 15:00:00,11299288300.020205,30000000.0,15370986.572390584,167.53198653198658
2022-09-23 16:00:00,10078256151.902693,30000000.0,15204709.859060405,163.76845637583892
2022-09-23 17:00:00,8571922108.9295263,30000000.0,15363876.838926181,163.15100671140937
2022-09-23 18:00:00,19238046540.263325,30000000.0,15199176.113333337,153.81666666666663
2022-09-23 19:00:00,6483996411.53667,29999902.256666645,15075631.676666664,165.64999999999986
2022-09-23 20:00:00,5702902676.8266754,29999902.256666671,15255163.886666674,184.42000000000002
2022-09-23 21:00:00,10411213019.214054,30000000.0,15450364.88628763,148.31103678929762
2022-09-23 22:00:00,6089276680.8227425,29999803.953177258,15019924.68561873,176.0033444816053
2022-09-23 23:00:00,4424588236.1400042,30000000.0,15194251.556666665,148.88333333333324
2022-09-24 00:00:00,3753953422.869566,29999509.82943143,15258287.076923072,159.27090301003346
2022-09-24 01:00:00,4956526955.7449665,29999901.600671135,15377392.291946312,163.74832214765109
2022-09-24 02:00:00,5448631237.8133316,30000000.0,15341275.506666662,160.24333333333354
2022-09-24 03:00:00,5032575125.78596,30000000.0,15263417.404682269,147.4849498327759
2022-09-24 04:00:00,3905515429.4266677,30000000.0,15151233.293333335,155.48333333333341
2022-09-24 05:00:00,4087497172.8691273,29999901.600671146,15328940.543624146,139.92281879194633
2022-09-24 06:00:00,4109411887.2348967,30000000.0,15282896.758389251,138.44630872483225
2022-09-24 07:00:00,4140700374.5518384,30000000.0,15223522.595317725,140.04013377926424
2022-09-24 08:00:00,4366126286.6287642,29999803.953177251,15419806.22073579,153.81939799331093
2022-09-24 09:00:00,4983193124.422823,30000000.0,15201911.704697981,161.01342281879189
2022-09-24 10:00:00,5847215556.0401354,29999901.929765891,15286276.46153846,156.30100334448159
2022-09-24 11:00:00,4411908727.1505032,30000000.0,15267205.899665549,144.52508361204011
2022-09-24 12:00:00,4219092138.2785225,30000000.0,15209284.822147643,154.06711409395979
2022-09-24 13:00:00,4815987785.52,30000000.0,15418993.059999999,155.25666666666675
2022-09-24 14:00:00,4238979135.347826,30000000.0,15330652.234113716,153.08361204013383
2022-09-24 15:00:00,5686808015.4966707,29999902.256666664,15321076.846666666,159.28333333333342
2022-09-24 16:00:00,5399500716.515049,29999901.929765884,15332860.076923085,166.48160535117054
2022-09-24 17:00:00,5761621871.5167723,30000000.0,15235636.318791948,168.41946308724829
2022-09-24 18:00:00,6499647357.146759,29999899.921501711,15545470.450511947,162.97269624573391
2022-09-24 19:00:00,4881618501.7718191,30000000.0,14956481.030201338,150.76510067114108
2022-09-24 20:00:00,3601079981.7433348,30000000.0,15378949.233333331,152.39999999999992
2022-09-24 21:00:00,11423679504.732449,30000000.0,15262668.92307692,150.56856187290958
2022-09-24 22:00:00,3233824670.9563746,29999901.600671139,15098939.986577179,157.95302013422815
2022-09-24 23:00:00,2465533445.1199994,30000000.0,15381154.659999996,162.40666666666678
2022-09-25 00:00:00,3607111042.6241608,29999901.600671146,15219393.338926174,137.12751677852347
2022-09-25 01:00:00,4012522220.1133327,30000000.0,15458680.196666675,136.16666666666674
2022-09-25 02:00:00,4401139299.1933279,30000000.0,15493067.600000003,151.50000000000003
2022-09-25 03:00:00,4611554384.0869541,30000000.0,15048795.709030097,155.34448160535112
2022-09-25 04:00:00,4854217765.9166718,30000000.0,15420093.61,154.59666666666675
2022-09-25 05:00:00,4338624847.7525063,29999901.929765865,15188605.270902999,165.98996655518411
2022-09-25 06:00:00,3900747178.7214794,30000000.0,15242568.140939591,158.39261744966436
2022-09-25 07:00:00,4293219925.7416129,29999901.600671135,15297315.325503353,150.8657718120806
2022-09-25 08:00:00,4062679846.3812709,30000000.0,15252768.18394649,151.7458193979933
2022-09-25 09:00:00,5758259057.354517,30000000.0,15319321.859531771,147.0334448160535
2022-09-25 10:00:00,4096014857.5819411,29999803.859531768,15223749.729097003,140.09698996655521
2022-09-25 11:00:00,5468046228.8783779,30000000.0,15470577.418918923,145.22635135135144
2022-09-25 12:00:00,5622699943.6333361,30000000.0,15153117.366666663,158.44333333333327
2022-09-25 13:00:00,5849815083.046669,30000000.0,15515122.923333336,162.48999999999998
2022-09-25 14:00:00,7706752469.8394651,30000000.0,15241865.628762534,159.18729096989969
2022-09-25 15:00:00,10967292671.71907,30000000.0,15370545.622073587,161.51170568561881
2022-09-25 16:00:00,13372332269.489931,30000098.305369124,15347045.842281869,160.52684563758388
2022-09-25 17:00:00,8935521119.2013435,30000000.0,15242930.798657715,165.70134228187911
2022-09-25 18:00:00,7035598974.491641,30000000.0,15105049.926421406,168.36120401337783
